,reviews
673,"I bought this Mac and it came with a non Apple charger, I bought this as travel computer, sure enough in the first week while I was in Europe I had to buy am authentic Apple charger at $117. Now a month  later my Mac has died. It was having issues as in when I tried to maximize the scene with Netflix it would just shrink to a 3x5"" screen volume,  also the screen had been replaced before I bought it and is not well attached, very disappointed, I bought this last summer, but only started to use it in October when I was traveling, so I spent close to $700 for a Mac that lasted 2 months, return and replacement window has ""closed"" so I am stuck with a hefty repair bill."
674,"Was very iffy about buying refurbished but it’s honestly like new! There are a couple of LITTLE scratches but nothing noticeable! Compared to my friends MacBook Air that she paid 1100$ for and they are the absolute same. Best $500 I’ve ever spent. & the company is AWESOME! The charger didn’t work as soon as I got it & I emailed them. Within an hour I had an email from them and they were sending me a new charger, thankful my friend had her charger that I used until I received mine but the battery last like 2-3 days so it wasn’t that bad."
675,"Seller: IT5050Wowie! My son wanted an Apple Computer for Christmas and I was not about to spend $1000+ on a laptop for a 11-year-old boy. But a refurbished MacBook was definitely priced more appropriate for him. This computer is AMAZING people!!! Looks so clean and new. Only a couple faint scratches on the bottom, the keyboard looks like it was hardly touched, screen is clear and no burn marks in it, plus the battery is great. The seller was so awesome to get me this gift in time for Christmas, they are quick to respond to emails and followed up to make sure it was delivered afterward. (seriously, the nicest people!) I had purchased another renewed MacBook from another seller, and their level of quality wasn’t as good, by far. I wish I could pre-select a quality grade for the laptop (excellent, good, fair, etc.), so it is a little scary just leaving it up to the unknown. I work in the retail business and I like to applaud small companies who sell quality products. Do yourself a favor and go here, they gave me a laptop that is stellar and eased my worries about a refurbished laptop. It really looks so good and is operating perfectly. This is such a smarter way to buy a computer, especially for kids, or if you like to have the pricier brands without spending the high price. – Happy Mommy!"
676,"Wow! Bought this from TECHarvard and was claimed to be Certified Refurbished, which according to the Amazon description should show limited to no signs of wear.  Well the device that I received not only was pretty scratched on the bottom, had a huge ding on the corner of the top cover, but the keyboard showed more signs of wear than the MacBook that I've had for 5 years(Space bar was completely warped).  Definitely does not resemble a new device in any way shape or form.  If they are selling used devices, call them used and mark the price down accordingly.  This is definitely going back."
677,"Overall the laptop is nice. A couple of marks on the outside but works relatively well. There was an issue with the battery that originally came with it. It would shut off around 65% battery life. I asked the seller for a replacement battery, which they gave to me free of charge. However, the replacement battery is not originally an Apple battery and instead a knock off. This issue prompted it to restart randomly no matter what the battery life was at. I’m putting the original battery back in and having Apple replace it with the appropriate battery for an additional fee. I got what a paid for and I won’t make the mistake of buying a refurbished Apple product from anywhere other than the Apple store again."
678,This is the BEST purchase I’ve ever made! The laptop 💻 arrived on time and in MINT condition. It functions beautifully and works flawlessly for my personal and business needs. I would recommend this seller to any & all I know who are in the market for reliable and affordable devices.
679,"Battery doesnt work! I travel to another country with the laptop and web I turned on and unplug it, it shuts down! And in Battery Options appears ""Replace now"". How you can help me? I'm in Ecuador now and wont be back in a year!"
680,"I love my new MacBook Air, it came as expected (relatively like new condition). This my first Mac and I’d purchase it again refurbished, you save greatly and get almost the same product 😀"
681,Bought certified refurbished ended up with a unit with a screen covered in dead pixels. I contacted apple to see how much a screen replacement should be more I'm looking a repair cost more than I paid for the laptop.
682,"DO NOT BUY!!! I purchased this computer for about two month and one day I couldn’t turn it on after it goes into sleep mode for a long time. It just wouldn’t turn no matter what I do, I tried every single method out there. I had to press the power button a hundred times for it to finally turn on. But after a while even that won’t work. The computer is just dead. I had to take it to the computer store and they told me it costs $434 to fix it!!!! Even though I actually paid to get it fixed I recommend everyone do not buy!! It’s not worth the money and will cost you more!! The guy in the computer store told me that there is corrosion inside the motherboard and in order to fix it it costs a lot of money ($434). I am truly upset and wished I would have just bought a brand new one from apple that’s the newest version and which will cost me less than what I spent on this computer!!"
683,"The laptop worked great the first week. Eventually, things started to decline and quickly.  I would constantly have to change the time clock, and that would prevent many apps from working properly or not at all. I also discovered that my webcam did not work. I asked customer service if I could get a replacement laptop, and they gave me a website to help me fix it myself. It did not work. Also, the computer would start dying very quickly, even after a full charge. I would also not start up automatically, even with the charger plugged in. I had to press to start button almost endlessly for it to just power on. Eventually, it just would not cut on at all, even with the charger plugged in. It’s completely dead. Apple says that it should cut on with the charger plugged in if it were a battery issue, so it’s definitely something wrong with it beyond that and it will cost upwards of $400 to fix. I’m totally bummed. It did not even last a year."
684,"BOUGHT THIS PRODUCT FOR MY MOTHER, SHE IS 70 YEARS OLD AND BARELY USES THE LAPTOP.THE SCREEN IS IN THIS STATE, APPEARS TO BE PEELING! VERY BAD!!"
685,"The media could not be loaded.
                




   Note: My purchase was completed through Kanga Supply for this item that ultimately doesn't function as intended.Amazon Renewed item descriptions indicate that the products should work and look like new, which wasn’t the case for this purchase, ergo my poor rating. After only having the Macbook for less than a day, I was forced to reach out to the seller because the product no longer functioned as intended.CONSThe Macbook worked fine for the first hour or so of use, but during an update, the screen flickered vigorously (see video). I hoped it was just a fluke, and it led me to believe there may be some software or hardware-related issue. After having the Macbook for less than 12 hours, I was forced to reach out to the seller because the screen flickering caused the laptop to become unusable (see picture). I also came here to draft a review in hopes that my issue is resolved quickly and effectively. I'll update my review once this is complete.PROSAfter removing the laptop and inspecting the outside, I was pleased. The outside of the Macbook is in good condition, just one or two visible scratches or marks.The charger was not the original Apple charger (as other reviews have indicated) but an OEM adapter. I don’t care that much about whether it’s an Apple charger, as long as it functions.Specs match the advertised item I purchased:128GB SSD8GB ramEDIT/UPDATE: After reaching out to the seller as instructed with the Amazon Renewed products, I never got a response in the allotted timeframe (2 business days) and was forced to reach out to Amazon directly. Ultimately, this item was returned for a refund.UPDATE 2: Today is 1/13/2020 and I have still yet to see this problem resolved to my satisfaction (refund or exchange of working product), after having ordered this product on 12/26/2019. Highly disappointed both in Amazon and the third-party seller.UPDATE 3: Received a replacement Macbook on 1/15/2020. So far it seems to be working, no issues with the screen per the previous item received (was NOT the same item sent back, verified by serial number). Pleased so far with this item."
686,"The 2015 Macbook Pro is still, in my opinion, the best Macbook even in 2019.  I use the SD card reader all the time and have several USB 3.0 devices.  I also use a newer 2017 quad-core i7 for work (no choice) but the difference in speed is not worth the added money and lacking ports.  When I actually put the newer 2017 to work, the heat issue is still a challenge for Apple and performance drops.  It's like having power that I can't actually use unless I sit in a walk-in freezer. Don't quote benchmark speed tests to me, what counts is actual performance sitting at my desk for hours at a time working on a project. I also prefer the magsafe power (although this one uses the magsafe II which I like less than magsafe I which had a more solid connection) This one, I purchased for my wife and it handles everything she needs it to do. Although you can't upgrade the memory on these models, so make sure you get enough for what you need.  If you want to change out memory, then the best choice is the Mid 2012 non-retina model which also come with DVD drives and has USB 3.0 ports."
687,"First off, I am removing a star because they shipped a counterfeit 60W Magsafe 2 charger with my order. I contacted them immediately and they offered to accept a return of everything. I explained that the charger was my only complaint and they overnight FedEx'd a genuine Apple replacement for free.""we sent you the wrong adapter for this batch of order and will overnight you the correct genuine one.""So they knowingly ship counterfeit chargers with some of their orders?The computer is pretty good cosmetically and operationally, but not as great as other reviewers. It is an Early-2015 12,1 model, this one was built in 12/2016. There is a crease over the right USB port from somebody yanking a USB plug. The battery has 107 cycles (89% life left). Keyboard and display are in great shape with no flaws. The SSD has no dead cells. It came with MacOS 10.13 installed.Overall its a good laptop and decent refurbishment job.EDIT: Knocking off another star. They sent me another counterfeit charger. Apple would never loosely jumble the cord in the box, a genuine power supply doesn't stay powered on for several seconds after it's unplugged from the main or stay lit green/orange after its unplugged from the laptop and this fake only puts out 25 watts max."
688,"I really feel like I got a great deal on this, mine arrived in brand new condition and it looked like it had never been used. I did see some people had bad experiences but mine was well worth the price tag. The only negative was that the charger provided is third party and not OEM Apple. The box is also generic and not Apple, not a big deal but you just don't get that same feeling opening it up as a new product. I will say that I checked the serial number on Apple and the computer itself was only a couple of years old, so in reality I paid around $450 for an Apple that was only a couple of years old with a decent amount of battery life still left. I only bought this as there was certain tasks that I could not do on my iPad and so I did not need a brand new super powerful computer. This one is great, does not get hot, fans are silent and the display looks incredible.Overall I was very happy with the purchase, it came fast and was like new condition at the fraction of the cost of a new one. I actually waited a few months before writing this review so that I could also include that I have had no issues at all in that time, battery lasts a decent amount of time and no software or hardware issues to report. It also runs the latest OS that I updated it to and I believe it will be supported software wise for some time to come. Completely worth the price!"
689,"The media could not be loaded.
                




   The Macbook came in working condition with all original components and an OEM charger but not with the extension cord. The major downfall is the condition of the laptop, for the above average asking price for this model I expected great condition as it is stated to be like new but instead the model I received was in okay condition (not cleaned either, large collection of gunk in hinge vent) at best with a lot of edge scratches and deep cuts throughout the chassis, and some unremovable stains from stickers! And worst of all the battery was at over 500 cylces, the battery life was 4-5 hrs max! thats horrible for whats suppose to be a renewed device! Not satisfied!EDIT:  Avoid this entire listing especially from the seller ''Easymobiledevices'', they ship dirty grade b laptop and have poor costumer service."
690,Once i started running it all sort of problems arises. First major problem is wifi drops off and will not let you connect to wifi. After this happens you cant even turn on/off the wifi. Used guest and still no wifi. Restarting or shutdown and restart will not activate wifi. If you restart it takes so long to reboot. Sometimes it get stuck on the waiting wheel on startup. One out of ten restart wifi will work for a minute but then drops off and you will no longer be able to connect again. I cant say anything physically because it looks fine. Lastly beware it shows and says freshly installed mojave os but it has instead sierra installed. The power cord looks like an imitation and not the original one because from the weight it is not the original one. I can tell because i have multiple macbook at home and that is not the original one. I am pretty disappointed with this seller.
691,"I’ll update 15 days from today.CONS:-Delivery packaging: it was a regular box with one thick bubble wrap to protect the laptop.First glance, the charger seems pretty beat up but seems to work fine.-The outer top of the laptop has a lot of scuff marks and scratches. Sides do as well. Nothing TOO severe.-Bottom have some scratches and wearing on the rubber, not too noticeable.PROS:-Had a full battery-Set up went smoothly with no hiccups.-Outer signature glowing Apple works well.-Opening the laptop, the screen has no visible scratches, cracks, or scuffs at all.-Keyboard has no loose keys and is glowing well.-Trackpad has no scratches and works really well no weird working sides SO FAR.-Software automatically updated to Catalina, kinda wanna wait to update to Big Sur.I’ll update March 13, 2021"
692,"Still a GREAT LAPTOP, arguably the best MacBook Pro 13” ever made, 2 or 3 iterations later! I have had mine for 3 months now and although I was a little disappointed that I got a no-brand MagSafe power brick instead of an Apple brand, it’s caused no problems for me. I have been using Logic Pro X a lot and it runs nice and smooth even with the haphazard way I use it, leaving muted unused tracks all over the place as I learn about things like track bouncing and experiment with every single effect and different audio formats (I feel bad sometimes like I am unnecessarily abusing the laptop, lol) and I haven’t frozen or crashed at all. I have used a few emulation programs for old Saturn, Super Famicom, PS and Dreemcast games that push the 2D sprite and parallax scrolling envelope and again I haven’t had any problems. Only thing I have experienced that has been an issue is the actual Mac OS and it’s limitations with regard to formats, programs that it supports and connectivity with outside developers but I have also been able to get around that by setting Virtual Machines up and GUID partitioning to use whatever other OS I need. This is also not a complaint about the hardware itself but rather the Mac OS software so should not be considered when it comes to the actual MacBook Pro 13”.You will want to upgrade to an NVME M2 SSD at least 256 GB or 512 GB right away, as the 128 GB SSD will fill up within 2-3 months of moderate use and the newer M2s will increase the OS loading speed more than anything else. Luckily you have your pick of great SSDs like the Samsung 970 Evo, etc that you can easily swap in with a $5 adapter, a screwdriver and no soldering (just search YouTube for “MB Pro 13 2015 SSD upgrade”)…The unique things and PROS about this MB Pro 13” are the older style KEYBOARD that doesn’t break like 2016-later model keyboards do, 2 USB 3 ports, an SD CARD R/W and a FULL SIZE HDMI PORT all built in. This is the last MB Pro 13 with any of those ports on board and the fact that you can swap SSD hard drives with no soldering and very little skill needed, all-in with the M2 you get a sexy little powerhouse for half the price of the newer model Pro 13”s (1/4 price of current gen)! The rest (CPU, onboard graphics, sound/speakers) make this laptop a must have that will likely only appreciate in value $$$!Two Thunderbolt 2/miniDisplayPorts are useful if you want to setup 2-3 Screens, but the CONS Are that you get NO ThunderBolt 3/USB-C ports and more and more adapters and devices require that connection these days, though with the USB 3 ports there are ways around it, complicated as they may be. You also CANNOT UPGRADE RAM unless you know how to de-solder the current ram and solder up new ram (accepts up to 16GB DDR-3 in 2X8GB formation) and setup the machine to accept the new ram, which seems a recipe to completely destroy the board/laptop without at least some Mac building & Mac hardware programming know-how, possibly even special equipment.MAKE SURE YOU GET THE MODEL WITH THE AMOUNT OF RAM YOU NEED BUILT IN & a CPU that will be sufficient for you and you won’t be disappointed with this awesome little 6 year old laptop! Don’t get the 4 GB model even if it will “work” for you “short-term”! I got the 8GB/i5 2.9Ghz/128GB and I already regret not paying another $100 for the 16GB ram model, but c’est la vie.Just buy this MacBook Pro 13” while you can, replace the SSD as soon as possible, enjoy it, keep it another 5-10 years and you will likely be able to triple your investment by reselling it assuming Apple stays on their current trajectory with their MB Pro Hardware releases!!!"
693,"Hi, I bought this Macbook Pro 13"" early 2015 and received last week on Aug 23th. The laptop has a good appearance and doesn't have any flaws. However, the charger(45w) packed together with the macbook is not for macbook pro but for  Macbook Air. I just found out today, cuz when I use the charger(45w) laptop cpu temperatures goes up to 65-85 celcius. and I can't use more than 4 hours. But when I charge my macbook with Macsafe 1 (85w, which is for Pro), the cpu temperature keeps 40-50 degree, and it runs around 10hours. I want to change my charger into “MacBook Pro Charger 85w”. Thank you."
694,I'm very dissatisfied with this purchase.I can't use the Mac because the hard drive was not reset and the software on the Mac dose not allow you to use it.Also there was no charger.Again very disappointed.
695,"Looks brand new, wrapped and sealed in Apple packaging. Plugged it in and turned it on and let it go. Absolutely no problems, it was automatic and wonderful to have the computer set itself up. Has performed flawlessly as expected of an Apple laptop."
696,"The laptop arrived in fair condition.  The screws show signs of wear so it may have been opened up during the ""renewal"" process.  Old stickers were left on the bottom. Also, the laptop was shipped with a cheap knockoff Chinese charger.  I have no reason to trust this charger so I'll have to order a genuine Apple one instead.Fortunately I don't need this machine to be a workhorse or I would send it back.  This should survive a year at least but I don't trust it as-is - I will wipe the hard disk, NVRAM, and SMC just to be safe."
697,Product was faulty. The charging port wouldn't hold the plug. I returned it. I don't think the refurbishing process is very competent.
698,"This is exactly like the MacBook I was given for work that was stolen on a plane flight. No problems with this as a replacement so far, smooth sailing for 3 months already! I got the protection plan just in case, but I'm very satisfied with this cheaper than new replacement. Will update if there are any issues that arise. Would recommend."
699,"Idk what I was thinking not having an apple in the first place. This laptop is very easy to use, fast, and I’m excited to see how productive I can be with this format. I feel free, nothing holding me back now!! Unlike old pc with unresponsive interface, slow speeds, and constant crashes, this one gives me no problems!!"
700,This laptop was literally like brand new out of the box. So far my daughter is so thrilled with her graduation gift. She is ready for college now!!!
701,"Our first ever Mac but so far its been quite impressive. It was easy to setup and get it going. It works well and very easy to use, turn on/off, carry around and day to day life. Wish the battery would last a bit longer."
702,"BUYER BEWARE!I knew by choosing a refurbished computer, I was taking a risk, but I never expected this. When I received this MacBook Air, I was surprised it was the model Apple stopped making in 2017, since the title said “Newest Version.” I emailed the seller and they said Amazon forced that in the title and told me I could return it. I work full time, am in grad school, and have three kids. I figured with it being an Apple it would last long enough to get me through school, so I kept it. Now, six months later the screen won’t turn on. It’s completely black.I am able to connect to an external monitor and use the computer that way, so I know it’s the display. After trying to adjust the brightness, several resets, resetting the SMC and the PRAM, I called Apple Support. They ruled out all software issues and told me it had to be the hardware.At this point I contacted the seller and they basically told me “sorry, it’s outside of the 90 day window so there’s nothing we will do for you.” I have escalated to Amazon trying to get some kind of resolution. They just confirmed there is nothing they are willing to do for me. They also are not doing anything to penalize the seller, All Out Apple. I'm shocked at Amazon. Shady sellers like All Out Apple will always be around, but I really thought Amazon was better than Ebay in that way. Lesson Learned.There is no reason a MacBook Air should have a display of a completely stops functioning after six months of use, even refurbished. I’m grateful that I had a work-provided monitor I can plug into to do my schoolwork, but if I was aiming to be tethered to my desk, I would have bought a Mac Mini."
703,"Got the computer two days early! this was probably the fastest delivery I've ever received from amazon. I wasn't going to buy refurbished but I really wanted another MacBook and shelling out $2k for a new one was simply out of the question. When I saw the price for this MacBook Air, I decided to roll the dice and buy it. I knew it could possibly come not as advertised, such as having scratches or not being updated as far as software is concerned but when I opened it up it was practically BRAND NEW! set up was simple as can be! only took me 5 minutes to sign in with my Apple ID and all my information was synced between my iPhone and iPad and onto the MacBook Air. There were a few minor scratches less than a couple centimeters on the bottom of the computer nothing that noticeable. the charger doesn't stick as well as I'd like and one of the hinges is half broken off but I've that same issue with practically every MacBook I've ever had. I was really surprised with the quality. it said 2017 version but with all the updates and new iterations its hard to gauge which MacBook your getting I thought I was purchasing a much older MacBook Air than what I got this thing is amazing and the 13 in screen is far larger than I expected it to be feels like a 15 or 17 in display when having it in your hands/ the computer itself is incredibly light, the main reason I chose the air you can carry it in anywhere with one hand and hardly feel it definitely much lighter than my 2020 iPad 11"" All in all if you're on a budget, this computer is the way to go! for $400 its practically brand new and runs like a dream! thanks amazon for this incredible refurbished Mac! love it !"
704,"I don’t what to think I bought 2017 16gb 256 ssd but I received a refurbished 2019 8g 256 perfectly packaged, I can’t put apple care I already call for that but im not sure to keep it because I want a computer of 16of ram but this one is 2019, im gonna give the chance to see how it works, And it cost me the same price of a refurbished 2019 Of apple but those ones you can put apple care"
705,"hola, soy de peru. Estoy contento con la compra, la compre por el precio, y me llego tal cual las especificaciones.(late2018,2.3gz,8ram,256ssd). la bateria llego con 350 ciclos aproxen cuanto a lo estetico, tenia pequeños arañones en un costado, pero nada grave, la pantalla intacta y el touchbar ok. el cargador sellado oem.califico la compra como 9/10."
706,Got a few months out of this before the screen started disappearing intermittently. Then it wasn't so intermittent. I'd have much rather spent the extra money to get a new computer that didn't break than to buy something second-hand and have to decide to repair or replace.
707,"Considering I was 100% ripped off, I would not recommend you purchase from this seller, I did not receive what I wanted, the serial number for a COMPUTER comes up as an iPhone 11... Just.. No."
708,This computer was working fine and all of a sudden the screen went out.  Cost me $640 to fix it.
709,"Delivery was super fast, considering I’m in South Africa. The laptop is simply beautiful, woks well, no complaints, I love it."
710,"Positivo, EXCELENTE EQUIPO!!!"
711,So far this was a steal. Great product for a great value.
712,super machine
713,The space key and some of the keys were not working As they are supposed to. Really sticky
714,"Arrived, boxed well with balloon cushions. Power adapter looked clean but had scratches. Opened up the Lid of the MacBookPro and it looked like it had some sort of disease or cancer & it smelled quite strange too. It had over 50% battery so I carried on with a reset which resulted in an error. Luckily it booted back into Yosemite OS that it had installed years ago, after 3 failed attempts managed to update to Mojave. Of course first things first copy music etc onto, USB stick struggled to go in either of the USB Ports (look at the photos) was also stuck after insertion but managed to pull out, with a hard pull - full force - anger. Had a look into the ports and discovered they were literally rusted dirty like disgusting, this is not the definition of Refurbished - but 2nd Hand or Heavily Used. Be aware, set your expectations right in oder to avoid any disappointments."
715,"The media could not be loaded.
                




   I was super stoked upon arrival, began setting up the laptop and within minutes the screen stopped working. Literally pixels. Severely disappointed. I have gotten ahold of kanga and they are working to replace the device but it has now been over a week since I’ve purchased the unit with two day shipping and still have nothing to show for it. I hope they come through on their end and send me a functional unit."
716,"I've only had it for about a week now and this 2015 MacBook Pro is working phenomenally! I was kinda hesitant buying a refurbished MacBook from Amazon, but I can honestly say I'm go glad I went ahead and did. It came extremely fast and right from opening the box, it was as if I had bought a brand new one right from Apple themselves. There's not a scratch, dent, stain, dust or anything on it. So far it's working extremely well and I will definitely buy form this seller in the future and recommend them to others as well! Great price for a great computer."
717,"I’ve had this MacBook Pro going on 4 days and so far so good! It has met all my expectations and more. I grew up using windows PCs. This is my first Apple computer and I’m happy to have made the transition. Wish I did this long time ago but better late then never. If it wasn’t for the packaging and not being in the original box, I probably wouldn’t be able to tell this was refurbished. This is just based from my experience using MacBooks at the Apple store. Also, there was a few minor scratches on the bottom of the laptop.I will revise and change review in a month if any problems. But as of now, my review above is how I feel."
718,"I've only had it for a couple days, but so far this is a great purchase. The thing looks brand new, and I know it isn't. I am replacing an older Mac and just can't afford the prices of new machines from Apple. Using Migration Assistant (an app that comes with Macs) I was able to restore a time machine backup from the old machine, so I've lost nothing in the transition."
719,"When I ordered this product for the first time, it came with a green line on the screen. I contacted the costumer service, they responded very quickly and replaced it.The second computer came with better specs, I was the happiest person... for 2 months though, the computer suddenly stop responding.Other things that are worth saying:- The charger is generic. A generic charger can easily damage the battery of the computer, that could explain my problem.- The second computer they sent, had a sticker that covered the whole low part of the computer (those stickers that are the same color as the computer and are used to cover up very big scratches.Conclusion: they can deliver a great costumer service, but not a working product."
720,"The macbook pro only worked for a short while. It had a charging/powering problem - wouldn't keep a charge at first, then wouldn't power on even when plugged in. Confirmed it was not a charger issue.I contacted the company who said to send it back for repair. Once they received it they wrote saying it cannot be fixed and charged me a ""restocking fee"" in the amount of the purchase of the laptop. Outrageous!! I even had a protection plan for it. After numerous interactions they refused to help and returned the laptop without telling me. THEN they said they couldn't do anything in terms of a refund because I had the machine. Months later they refuse to resolve it and amazon can't help me because it's a third party seller. An ABSOLUTE JOKE of a company. I'm out over $500.00 with a computer that can't be fixed - and Apple store said they could try but for more than the computer's worth. So yeah. They have my money and I have nothing.DO NOT BUY from these people if you'd like to keep your money."
721,"Hey all! So I’ve gotten into photography lately and needed a upgrade from my old 2012 MacBook Pro and 2011 Asus laptops for editing. Figured a 2015 model would be the way to go for a decent upgrade without spending tons of money. I was super skeptical about buying a reconditioned one through Amazon after reading the reviews and thought about it for about 4 hours before I made the transaction. Next day it was at my door step with me a bit nervous about opening the package and seeing a beat up MacBook, I opened the box and the MacBook was in a bubble wrapped sleeve and that’s it. Okay I’m fine with that but what was the condition of it? Looks like it barely got used or the previous owner always had a case on it. Outside from a few nicks here and there it’s flawless. Turns on and is super quick, the Retina display is beautiful and definitely enjoyable to watch movies. It came with Mojave so the first thing I did was update it to Big Sur and it’s still flawless. I’ve only had it for a day if that but so far I’m happy with my purchase. Just be mindful yours may or may not be like mine condition wise I got lucky. Should you buy one of these? I would I’m pleased with my purchase and I’m sure you would be too. But I’ll update with any issues if they come up in the future. Thankfully I’m a bit tech savvy so whatever happens I’m sure I can fix it."
722,"This of course this is an old model and reconditioned/renewed, so I was expecting it to look somewhat used; however, this MacBook Pro is in PERFECT CONDITION as if I had purchased it new. I'm upgrading from a very heavy and slow 2009 white MacBook that's a dinosaur and I could only do very basic things on it. It has almost zero capability in terms of battery life (it could only be used plugged in) so this laptop is an absolute gem in comparison. This might be why I'm so hyped and elated. Plus the price was very good. *I hope the computer doesn't have some sudden glitch and dies on me...lol!Now, I can finally edit my videos in iMovie, which was not working on the old MacBook, because I couldn't update it anymore. I need this laptop mainly for traveling, to do editing work, I have a 2 monitor PC set-up at home. My only wish is that I could transfer my Adobe CS to the new laptop.SIDE NOTE: it's actually overall a little smaller than my old 13"" (screen size is the same), it's not as heavy, but not as light as the Air; it arrived with Catalina iOS installed and I had to upgrade to Monterey to use the newest version of iMovie - this isn't a complaint, just an observation."
723,"I bought for my mom, great deal (sort-of), works great (after I deleted 2 mysterious old unknown wifi connections)I bought this for my mom, she was always having Windows problems, viruses disguised as virus removal, scammy pop-ups, and so on.  Happy day!  :DThey raised prices during Prime Day, wth?  I thought I was getting a good deal, but afterward I noticed the price went down.  Anyway, I ordered this for my mom.  She's been using Windows and I wanted her to experience a Macbook Pro.  This one is actually even better than mine!  I'm still happily using a Late 2013 2.4 Ghz 8 RAM 256 GB 13-inch Retina, her's is exactly the same except it's a Early 2015 and it's actually got 2.7 Ghz!  Anyway she seems really happy with it.  I set it up for her, and ran the serial number, which was not found, not surprisingly although I'm not sure what that means, and the update page in the App Store looks like it was coded in 1995, so I'm not sure what's up with that.  Could be something funky going on, but all I know is it works and we're happy with it.  She's getting used to using it, and she says it's fast and smooth.  She was getting tired of all the Windows updates and virus stuff and all the spammy popups telling her to purchase a virus disguised as virus removal, yadda yadda yadda, so I am well-pleased that she is now almost a full-blown Mac-head.  Thanks Apple.  I hope to be able to afford an Apple car when they do come out, haha.  I'm not sure about the battery-life yet, but I HAD TO replace the battery on mine, so replacing it on hers should not be a problem."
724,It’s just one continuous problem after the other with this computer. It’s really not worth it to save a little bit of money just buy new not refurbished have your warrantee you’re better off in the long run.
725,For this being my first ever Mac- This was an amazing buy... no scratches or dents. Its basically BRAND NEW. 😝😝😝The only thing is that it says 512gb but the space says 256gb so be wary of that.But other than that I am really happy with my purchase.
726,Good
727,Love it
728,"the product arrived with the screen broken. I would like a refund of $ 400 to repair it, since he is now in Brazil."
729,So happy with this purchase. Even my kids said it looks like the new ones. Has some minor imperfections but at the cost totally acceptable. Would definitely purchase from this seller again.
730,"I purchased through amazon this m1 chip 512 gb 8ram macbook pro 2020 year manufacture.  I’m a mac user of many years.  The computer is blazing fast, slim, light with great battery life. A huge bonus—-little need for additional  anti virus add on software since the macbook anti virus platform is very solid. A hidden gem when you buy any apple device is phenomenal tech telephone support.  The advisors at the apple stores and by telephone are the best part of the apple experience for me and even rival the devices they sell. Yes, I hate the high prices and know the game but over time I’ve  accepted their price points because of the incredible tech support."
731,battery would not take any charge  stuck at 1%
732,"I cannot believe the condition my Macbook is in, you can’t even tell if it’s used and the packaging was very nice and professional with the white box and wrapped just like it is when you get it directly from Apple. I am super happy with my purchase, thanks Amazon."
733,"Good, but it is a little small.. easy to control. Recommend if you are hard to control your computer"
734,Computer will not charge.
735,"""Refurbished"" even though Battery life was non existent from the startup, always check the reviews on laptops to make sure they have over 200, cause then you won't be played by greedy ass people like I was"
736,"Minor scratches , for the price reduction is a great buy !!!"
737,Light weight
738,"El producto reacibdiocionado en muy buen estado, funciona perfectamente y venía totalmente protegido y embalado. Muy satisfecho con la compra"
739,"Looks and acts brand new. Everything exactly as advertised. Will update if I have any issues but after a week I can say, I am pleasantly surprised!"
