,review
2695,"In todays economy, I'm happy this Chinatown staple- closer to Little Italy, is still open.I got a soup, noodles and wontons for under $9. The food was fast, flavorful and the place was packed as usual. I was happy to find a vacant table (although they do open cafeteria style- so be ready to share tables if your in smaller parties). Everyone is friendly and seem to be concerned with their meals- as told by delightful eating dances and 'mhmmm' sounds that fill the somewhat chilly restaurant. Make sure to add the chili oil or sriracha provided at the table to spice your life up. Glad there's a clean bathroom you can use too- especially helpful in the area- when looking for a good bite to eat and exploring the area."
2696,"Not sure why I rated it a 4/5 the last time I was here some years ago... especially since I've always raves about this place to other people.Welp, I came back and it seems like the place had a renovation as there's much more space and it's much cleaner haha! There's no longer any bar seating by the window, but definitely way more tables available. The turnover rate is quite fast so while it may look very full inside, you shouldn't need to wait too long for a table to be available.Seems like their menu became a bit smaller compared to years ago. My go-to orders still taste just as delicious as I remembered -- peanut butter noodles and their pork chive dumplings. *drool*They sell frozen dumplings of I think it was 50-100 count and it is SO WORTH IT!!!!!!"
2697,"There's a reason why this spot is so popular with the locals. It's a no-frills, hole-in-the-wall spot with unbeatable prices and all the staples. The food is ready in seconds! The fish ball soup is less than $3, and you can get a large plate of 10 fresh dumplings with perfectly thin skin for just a few bucks more. There are also several noodle options."
2698,"First off I love how early they are open (8:30am) and that their menu are reasonable and their food is absolutely comforting and delicious! Usually I like to come here before work so I can pick up my meal for the day. It's so close to the M15 bus on Allen Street so that just makes it so much more easy for me to visit this place. Inside is spacious. They do offer plenty of seating so you can comfortably sit in for a quick meal and leave especially when it's super cold outside. This place is perfect.  As for their menu, it's easy to choose from. They have it posted outside and inside in big bolded letters so you can easily read and it's listed by numbers so you can just tell the guy which number you want. I highly recommend their #4, dumplings and chives and their wheat noodle with peanut butter sauce. It's an absolutely perfect combo and will definitely hit the spot. Monetarily they are very affordable and it won't break the bank. If you're ever thinking of doing a dumpling crawl with a group this place is also one that I would definitely recommend.  The only thing that I would they would offer is more different choices with dipping sauce. That would totally take their dumplings to a whole new level and it would be a game changer in my book."
2699,"One of my new favorites in NYC! This place is the epitome of cheap eats x comfort food. Each item is like $2-3 so you can have a full meal for $5. I tried the wheat noodles with peanut sauce and the beef tripe soup - noodles look really simple but it is so flavor packed and delicious, SO worth the $2.50. Beef tripe soup is great too especially on a cold day! I also bought the frozen dumplings (pork/cabbage) which are priced similarly to other stores I've tried in Chinatown, and it was by far the best one I've had bc it's so juicy and savory. The store has a decent amount of tables inside. You order at the counter and they call your receipt number out when it's ready, and then you take your tray to any table. Service is pretty quick, I think I waited only 5 minutes. Would highly recommend this place and can't wait to come back!"
2700,"Absolutely amazing lunch spot on cold days. Loved the food, cheap prices, quick service. We got 2 dishes: 1. Whole wheat noodles peanut butter sauce:Amazing noodles for people who like peanut butter. It was a delight on a cold day. $2.75!!2. Chicken and Chive dumplings:Must try with their chilli oil. Best we've had in weeks! $4!!Cheapest and the most soul satisfying lunch in Chinatown. A must try spot."
2701,"A nice, cheap eats place in Chinatown. Got all 5 plates below for $13.75 total ($2.75 per plate)!  - Pork & Chive dumplings (small = 6 pieces)- Chicken & Chive dumplings (small = 6 pieces)- Wonton soup- Wheat noodle with peanut butter sauce- Fish ball soup (small)I recommend trying the pork & chive dumplings. Surprisingly tasty and juicy. The chicken & chive dumplings were not memorable so... shrugs* Everything else tasted pleasantly simple, if that makes sense. - Quick service (waited 5 minutes) - Cash only- Must show vaccination card for dine-in.- Restrooms to the far left of the counter. - Dirty indoor dine-in area but there are plenty of tables with disposable utensils"
2702,"Sunday evening, came by here after a couple failed attempts at dinner spots in the area. At first had gone to the original location, which was obviously closed, and ended up finding their new location one block down.Despite it being dinner-time, the line wasn't too bad here and still available spots to sit and eat. Ordered the Pork & Chive Dumplings ($4), Pork Ball Soup ($2.75), and Wheat Noodle w/peanut sauce ($2.75). Tremendous value overall with all the items coming out fresh in only a few minutes. Dumplings are twelve to an order - thin casing stuffed with pork and chive balls. Simple and easy to eat, especially with the sauces provided at each table. Pork ball soup is similar, as there are about twelve balls with even thinner casing swimming in a light meat broth. Warming and perfect for a cold day. Only drawback were the wheat noodles which were basic and chewy (also the only only vegetarian option on the menu).Abrupt no-nonsense service and cash only. Bang for the buck, easily a top choice."
2703,I understood there is a lot of hype for this place due to PRICES but what I didn't realize this plate of noods and dumplings would instead be a bomb of flavortown on top of ridiculously cheap fare for my wallet. Came in the middle of October when sweater weather was starting to hit the streets. Dumplings and noodles sounded like a good snack and were nearby. We opted to eat inside since it was warm but I will say inside is very bare and typical of your mom and pop establishments. They were busy and food came out not the quickest but not too long either. My favorite bit was def the noodles - it was so soft without being soggy. The sauce had hints of peanut without being overpowering. Sizers were perfect. Loved the dumplings as well with the sauces. Probably one of the better places I had.
2704,Tried thin wontons & round wontons. Loved the former one. Inexpensive but hard to find tables. Cash only.
2705,"This is the type of you place you visit once a week for the rest of your life. It's a small menu but what they do offer is outstanding. The pork and chive dumplings are fresh, made in house and absolutely stuffed. I think their peanut noodles pairs well with the dumplings. Just add some of their outstanding hot chili oil !"
2706,"Not the best place to sit down at, but the food was so cheap. The noodles in peanut butter were pretty good and covered almost the whole plate. My favorite was the pork and chive dumplings which were only $4 for 10, boiled instead of fried. The beef tripe with rice noodles were okay. The soup was fairly bland, so you will need sauces. I would get take out next time instead of sitting at their tables."
2707,"I loooved the Pork and Chive Dumplings! I would come back and buy a whole bag of them frozen in a heartbeat. The Wheat Noodle with Peanut Butter Sauce was good too, but not sure if I'd order it again. The peanut butter and oil were really fragrant, but I felt the overall noodles were still lacking salt/flavor/spices. For a total of $5.50 for both orders, this is probably hands down the cheapest place I've gotten a satisfactory-sized meal (aka enough food to even be considered a meal) in Manhattan. There is a good amount of seating indoors, but it does get busy so you may have to wait a bit for a table to clear up!"
2708,"Great value. Best boiled dumplings I've had in the US, which says a lot considering that I live in the San Gabriel Valley. Thin skins, great filling-to-wrapper ratio. They pack the dumplings filling as much as I do when I make it homemade. You really can't beat the price and value. Couple of tips:- Cash only.- Limited inside seating. - Don't come here if you're looking for 5-star service, come here only if you want 5-star food.If I lived in NYC, I would frequent here often and also have a pack of their frozen dumplings in my freezer at all times."
2709,"So, i'll start by saying we bought a bag of frozen dumplings and for the most part they were very good.However there was one dumpling i bit into that had a broken piece of plastic in it (see photo). So as much as i want to come back here and give them another review, you'll understand if i cannot."
2710,"Ahhhh this place is amazing! This has been on my list of Chinatown eats forever and we just happened to walk by it one day while hungry. You can literally spend $5 here and fill your belly! The peanut butter sauce noodles were perfect to share for two people, and we got pork and cabbage dumplings as well. It was sooo good. Dumplings were super fresh and juicy, and for such a good price. Will 100% be coming back for all of this."
2711,"DELICIOUS AND CHEAP FOOD. Can't go wrong ordering anything here - soups and dry noodles aka my definition of comfort food.No frills, self-serve, easy to miss. Amazing how they can keep these prices in nyc although no one is complaining.Actually YUMMY food - cheap is a plus. CASH ONLY."
2712,This location has a lot more room for people to dine in. The menu is pretty cheap for 2022. 10 dumplings for 4$ tax is already included. Made fresh when you order. Wait time is about 5minutes.
2713,"Great place to get dumplings! Wonderful and will come back all the time to get my dumpling fix. Also got the peanut wheat noodles, and while good, I would save stomach space to just get more dumplings.Note:Cash only"
2714,"I love coming here to buy frozen pork & chive dumplings. $12 for 50 is such a good deal. Their fishball soup is good too, and only $2.75 for a small!"
2715,"This place serves really good dumplings as the dumpling skin is ""al dente"" . it's like it's got a firm yet supple skin to it. The dumplings itself are pretty meaty as well as it is like 20% larger than your average dumpling that you get frozen. The food comes out extremely fast as well, so you'll be pretty happy.Have a venmo account or bring cash to pay!"
2716,"Oh man. I don't really have much else to add other than encourage you to just try it out for yourself. The reviews are pretty much on point. I had seen this on every food blogger's Instagram in NYC and bookmarked it. I'm in Chinatown a lot and surprised it took me 12 years of living here to try it. However, in my defense, it's a little out of the way, not anywhere near where I do my business in Chinatown. Today I made it a point to go here specifically and I'm really glad I did. I tried the popular wheat noodles in peanut butter sauce and chicken and mushroom dumplings. The noodles are a good portion. If there had been more, I wouldn't have complained. The dumplings were good too, although they weren't anything to write home about. They had a chili oil of sorts on the tables that went great with the dumplings. The two dishes set me back $6.75 which is a stellar deal in my opinion. I'm glad I don't work anywhere near here or I would be 5 times heavier in a short span of time."
2717,They moved location but they still have the most delicious dumplings for amazing price!!  Still my favorite dumplings pork and cabbage are my favorite and they go down so easy.
2718,"I ordered for pick-up for the following items: thick rice noodle with peanut butter sauce ($2.75) and a large size of pork and cabbage dumplings ($4), and these were quite a steal!!I have walked by this spot a lot and seen many ads on Yelp but I did not really think much because I have seen and been to plenty of dumpling spots. I thought that this shop was not going to be any special, yet when I looked at the menu again, I was quite surprised. Everything was cheap and affordable, which made me think that the quality would be compromised. However, based on the many positive reviews, it seemed quite unlikely.I got the noodles and dumpling yesterday for lunch and they were pretty delicious.The noodles were not overpowering with the peanut butter sauce. It was sufficiently nutty (no pun intended) and was still warm after getting the food for pick-up. I am not a fan of peanut butter but this dish was quite a nice snack.The dumplings had a thin skin yet they were very stuffed. I was surprised in the amount of filling, and it was not bland with the meaty taste. I'm not sure if there was soy sauce added in the mixture or if it was meat juice spilling out of the dumplings, but the dumplings strangely tasted different and more appetizing than the ones I had before. Also, the dipping sauce was amazing. It's not the traditional soy sauce; there was an element of spiciness (spicy oil added perhaps; thank god,  no sriracha). The spiciness was sharp and it cleansed my palate. Most dumpling shops or dim sum locations dilute soy sauce or use the original salty soy sauce; however, this dipping sauce changed the game completely.Altogether, I had assumed the two items would become just snacks and not appetizing BUT they were super delicious and refreshing. I wasn't bored from eating ten dumplings (large size) and switching between these two choices coupled with the sauce cleansed my palate for the next bite. Overall, I may return for a second visit to try their other items!!"
2719,"CASH ONLY!!!!!You know the food is good when it makes you miss your hometown. Am I right, or am I right? We had 3. Sour vegetable with noodle soup; 5. Wheat noodle with peanut butter sauce(BOMB) and 7. Wonton soup (you have to add some vinegar in the soup to make it next level, trust me on that). They were all so tasty and enough for the 2 of us.  I almost wished the portion was smaller, so that we could order more things to try.  And 3 only $9.50?!?!?!?! With how expensive everything costs nowadays, this place is definitely a bang for your buck.Why don't we have one like this in the Bay Area??? I'd probably go every week!!!"
2720,pork and chive dumplings 5/5so affordable. 40 cents each. not the biggestbut delicious. tasty. lovely.come!
2721,Great place to satisfy your dumpling cravings!I always order these whenever I'm craving homemade Chinese food or feeling under the weather. All the dumplings taste great. The skin is thin and the filling is flavorful. Soups are light and refreshing. Order the noodle soups if you're looking for something more carb-y. Great meal without breaking the bank!
2722,"MY GOD the value. Getting twenty dumplings and a wonton soup, having it taste good, and it all being $10.75 is simply unbeatable in manhattan. It is only cash only but you'd be doing yourself a disservice if you didn't stop by"
2723,"cash only or venmo!!For $3 for 10 dumplings and noodles for $2.50, I do not know where you are going to get a better deal than that. They offer eat in and also frozen take home for those days that you are just too lazy to cook. The portions are big and you are going to be very full for under $5. For NYC that is going to be hard to beat.I got the pork dumpling and wonton soup. The flavor reminds me of dumplings grandmas would make and it is very tasty."
2724,"Best dumplings I've ever had. Not even exaggerating! I thought I was here for their Buckwheat Noodles (Sesame Noodles), but I devoured the dumplings instead. Pork and chive never fails but these dumplings were special. They're extra plump and so juicy - I can tell they use a lot of fat in them. I enjoyed them so much that I bought 50 frozen ones, and they are so easy to boil at home. I think the total cost of a meal between my friend and I was about $12. This cheap eat is definitely one of the gems in Chinatown. Can't wait to come back!"
2725,This is tasty cheap Chinese food in Chinatown. We got the pork ball soup and the noodles with peanut sauce. For a total of $5 can't beat that! We were able to grab a table at lunch on a Monday but it was pretty packed with a line to the door.
2726,"Wowee Wow!!!Not much to say.Inexpensive, a small menu, popular with the locals, everyone incredibly friendly & welcoming.Pork & Chive dumplings, homemade and very delicious.Wheat noodles in Peanut Butter Sauce, fresh, hot, delicious. Sauce was a little thin but, I left full for $5. So no complaints here, if I'm in the neighborhood, I'll return."
2727,"Wow! This place is not only CHEAP but delicious. **CASH ONLY / indoor dining availableOutside of the restaurant looks a bit run-down, but it's not bad inside. Restroom is clean! haha.We ordered:Wheat noodle with peanut butter saucePork and cabbage dumplings (boiled)Total: $5.50!!! I am SHOOOKED! The wheat noodle was quite bland, but tasted freshly made. It was basically just wheat noodle with peanut butter sauce + soy sauce. If we could add protein for additional cost, that would've been great. It was still good but I wouldn't order again. Dumplings were delicious! I've tried many different kind of dumplings but never had this kind. The seasoning and flavoring were very tasty and different. The two items were pretty filling. I was pretty full for the price of $5.50!Overall, it's worth a try for the value! I would definitely come back to try other stuff."
2728,Visited this place after years and it hit the spot! We got the rice noodle and the wheat noodle with peanut sauce. I love the wheat noodle with the peanut sauce and then adding the chili oil which is at the table. Such a great quick meal for a winter day!
2729,"First time trying their new location! Bigger with more seatings! Had the fan favorite, peanut butter noodles. So affordable, filling, and delicious! Perfect on a cold day, but honestly... I eat it year round! You must pair the noodles with soup. Their wonton soup, fish ball (pork meat in the middle) soup and beef w/ starch soup is so good. Pro tip: add a splash of vinegar to the broths. Fu zhou wontons are smaller but that's how it normally is. This is not a super popular order but the beef w/starch soup is delicious. Don't let the name scare you, it's basically beef in soup. Another must have are the dumplings, this place makes the best boiled dumplings!Each table has a side of sauces: vinegar (remember add it in your broths!), chili oil, soy sauce etc. They have a wall full of photos and names of food so its not confusing!"
2730,"Came here after watching someone on Instagram post that it's really good for cheap in Chinatown.Ordered the peanut noodle, won ton soup and chive dumplings.The peanut noodle was good. I got it with wheat pasta. Not sure if they make the noodle in house but tasted light and fresh. Peanut taste was good but wish there was a little more flavor.The pork and chive dumpling mixed with the chili oil, soy sauce and white vinegar was solid. A good amount of filling in each one. This was my fav dish out the 3.The won ton soup was a fail. Didn't enjoy it. I added some extras- chili oil, soy sauce and it didn't do much to change the taste. I guess I'm used to super wonton Chinese style won ton soup.Overall It was super cheap and a good quick stop. Place is small, could be cleaner, but for china town it is what it is."
2731,"So delicious and inexpensive- ordered 2x wheat peanut noodles, dumplings and wontons for $15"
2732,"Again, another one of my reviews missing - I remembered my previous review I mentioned I was also skeptical coming here to the original location because it looked really sketch and just not a place where I expected to be good.But S mentioned it to me and wanted to come here so I decided to give this place a chance since I never even bothered looking up what this restaurant was all about.Came here to dine in pre-covid and the place was very small but we managed to score a table.We got the peanut butter noodles and dumplings and they're so good.I didn't think I would like the peanut butter noodles, but I was pleasantly surprised and they taste even better with a bit of hot chili oil.I ended up buying frozen dumplings to go.I haven't been to the new location, but I got A to pick up some for me because during the pandemic I missed eating good dumplings and I am not near any authentic Asian restaurants, so these frozen ones are a lifesaver.A told me the new location is brighter and cleaner and bigger!One of the things I miss living in my old hood."
2733,"Saw this place listed on a ""food influencers"" list of best dumplings in Chinatown, so I had to check it out! I got the pork and chive dumplings and the wheat noodles with peanut sauce. The dumplings are soooooooo juicy and moist, the wrapper is just slightly chewy. The noodles were simple and perfect, not overly strong flavors, just enough. This place was very cheap as well! Make sure you have cash, not sure if they take cards. Will definitely come back!"
2734,"If you come here, you have to order the right stuff.  The most popular dishes are #5 and the dumplings. I was NOT a fan of other menu items aside from #5 and the dumplings.Finally, all the menu items are of great value and a good cheap eat in Chinatown."
2735,"Affordable, simple + good food! Everything came in neat containers, good amounts, and the price forget about it!"
2736,"Shu Jiao Fu Zhou takes the crown for best budget eat in NYC. With so many restaurants in NYC continuing to increase their prices, Shu Jiao offers such delicious food for cheap. We tried a few of their different dumplings, as well as the fish ball soup and noodles with peanut butter sauce. The highlight for us honestly was everything, but my fave dish was the dumplings. For the price, they easily could've skimped on the ingredients and the quality, but they were great for the price. Just remember it's cash only. What a great bang for your buck!"
2737,"I love this place! If you're ever in need of a quick and filling meal, please give this place a try. They feature two great items: pork and chive dumplings and peanut butter noodles. For just a few bucks, you get a full plate of boiled dumplings coming out hot and quick. The wrapper is nice and thin and the filling is pretty flavorful. The peanut noods are pretty good too and very filling. This place can get busy, but I'd say the turnover is pretty quick if you're looking for a seat. I also enjoy the vinegar and chili on the side. Hands down one of the best value meals in Manhattan that tastes great!"
2738,"This may not be fine dining or the best place to bring a first date, but you will leave with your stomach (and wallet) happy. It's definitely deserving of 5 stars, considering the quality, price, and service/speed. We literally ordered, sat down, and a few minutes later, our food was ready (they'll call you by number). The food is definitely best eaten hot! Our dumpling wrappers were so thin and the meat was sooo juicy and tender! The peanut noodles were filled with so much sauce and the noodles just melt in your mouth. The restaurant is definitely a no-frills spot meant for a quick bite. As there was a constant flow of customers, it's pretty much expected for customers to eat and leave after they're done (not the best place for a catch-up with buddies).5/5 Definitely recommend for good food that won't break the bank! :D"
2739,"You really can't go wrong here. Super cheap, spacious place to eat, utensils laid out for you, tax free, and  tastes good as well. I went here after paying way too much for food nearby and after eating this, my mood brightened. I ordered the 6 dumplings for 2.75 and I ordered 50 frozen dumplings for $12. A bargain."
2740,"This place is ridiculously cheap. We got 2 bowls of noodles and 1 plate of dumplings for just $13. Really good dumplings but the noodles were kinda bland but they did have a lot of sauces for you to sauce it up to your taste. Overall, for the price tag, this place is really filling and if I lived nearby, I would come just to eat the dumplings everyday lol"
2741,"Easy, quick and cheap. You can get a filling meal for under $7.I would recommend takeout and make sure to ask for chili sauce. This will be a go-to whenever I'm looking for a quick to-go meal while I'm in Chinatown."
2742,"I already ate a half of it. So good. If you never had food here, you don't know what New York cuisine is period"
2743,peanut noodles are the best thing ever. i love them so much and keep coming back. the price for it was amazing!
2744,The best bang for your buck in New York! Great pork and cabbage dumplings and peanut noodles. Knocking off one star because the dumplings stuck to the paper plate they came on and some paper ended up coming with the dumplings into my mouth.
2745,"Probably one of the best examples of a true NYC cheap-eats restaurant that is lower on the radar compared to other Chinatown mainstays. I do not believe there is anything on the menu that is more expensive than $5.I also like their dumplings a lot better than Vanessa's; not only are their wrappers much thinner and more silken, but they also give you much more at a way cheaper price. Noodles with peanut butter sauce is a must-try if you haven't tried this combination before.During COVID, I placed my order outside of a makeshift booth at the entrance, and then waited outside for my name to be called."
2746,Wheat noodles with peanut butter sauce -   ($2.75) I decided to try this because the Fung bros hyped it up. It was just alright. Basically watered down peanut butter sauce and lot of oil. I mean it's cheap but it was also just soso.CASH OR VENMO ONLY.
2747,"Their dumplings are SO GOOD. Got their small pork & cabbage dumplings - coming out steaming hot, chunky, and substantive. Each bite you taste the juiciness of the pork and the umami-ness of the cabbage. Wraps were just the right level of thickness. Eat them with vinegar & chili flakes - the best combination in the world!!! For the main, I got their beef tripe wheat noodle soup. Also came out steaming hot - the amount of tripe in there was generous. Even more generous in the amount of noodles given. Had a fresh, delicious and affordable experience. Will definitely be back."
2748,"Haven't been here for ages and mostly forgot about it, but it's great! Changed location and upgraded the inside, it's no longer dingy and falling apart - there's now proper tables and chairs and lighting, much cleaner feeling too. Surprisingly, prices haven't raised at all in the last two (or more) years, no idea how! My go-to is the large pork and cabbage dumplings which comes with ten pieces along with the peanut butter noodles. Cash only, $6.75 including tax for it all, amazing! The only downside of this place is the excessive use of plastic, which is actually what ""shu jiao"" in the name of the restaurant is. I guess that's how they're able to keep the costs low, but it's really awful for the environment."
2749,"Have you ever been to a bar and wish you could be a regular there? Befriended the bartenders that remember your nickname and your usual drink order as you walked in?That's me to Shu Jiao Fu Zhou. Except instead of drinks, it's peanut noodle and dumplings. And instead of a bartender, it's an uncle.Shu Jiao Fu Zhou is literally a hole in the wall. It's a specialized noodle and dumpling place that can be a hangover cure. The place is small but it can fit a decent amount of customers to dine in (prob 10-15 people). Been coming here since 2017 when the peanut noodle still costs $2.50 (I know right? How dare they raised the price to $2.75 now?!?!)Anyway, dish recommendations:1. PEANUT NOODLEIt's a delicious thin noodle with peanut butter sauce. No, it's not your regular skippy peanut butter spread. It's peanut and butter sauce, a common savory Fu Zhou dish. PRO TIP: eat it fresh while it's still steamy and don't wait too long.2. Pork and chive dumplingsSuperior dumplings. The dumplings that other steam dumplings in the city should look up to. Thin skin, generous filling that is juicy and rich in flavor. Don't forget to drench them with the soy vinegar dumpling sauce.3. Fishball soupI'm not sure why this dish is less popular and underrated. The broth is good and the (S) has 6 fishball with pork fillings. Whenever I feel my noodle started to get cold and too sticky, I just pour some of the broth to it and make it warm again. Winning.I must say I miss dining in in here because to me, the peanut noodle tastes the best when it's served on a plate. There's nothing wrong with the to-go container, it's just the sauce is already mixed while I like to mix it on my own.Really worried that the pandemic affected them badly but the uncle told me they still managed. And when I came here last week the uncle also told me that they're moving to a new location (see pic) which is a block a way I think lol and they'll open for dine in soon! So excited to be back."
2750,"Obao is amazing! It feels like a nightclub, and the vibes are so great in here. The drinks are fantastic -- try the Spring Emotions!"
2751,"Food was the best, came for my friends birthday. Baitong, Palm and Pom provided the best service, made wonderful recommendations and had us laughing the whole time. Highly recommend everything on the menu was fresh and delicious."
2752,Delicious steamed dumplings and drunken noodles. Should totally try their comrade party. Super unusual but tasty!
2753,"Came here with my gf on a cold Saturday evening for dinner. We were able to squeeze in a reservation spot that freed up last minute. We were seated on the first floor, but at a table the closed to the wall. It was a super tight squeeze between other diners. I ordered a cocktail called 1001 Nights ($10), which consisted of gin, fresh blueberries muddled with palm sugar, lemon juice, and Fragoli strawberry liqueur. Fruity sweet drink that tastes great.We started off with Sambal Spiced Calamari ($10) as appetizers. Pretty standard fried calamari served with onions and scallions. The dipping sauce was okay, but I liked the calamari without it.For entrees, I ordered the Short Ribs Massaman Curry ($26), which consisted of a 2 hr braised grass-fed short ribs, roasted sweet potato, shallot, dills, and peanuts topped with crispy shallot. This was simply amazing. The sauce is phenomenal when poured over the side of rice. The short ribs falls apart very nicely. I ended up taking this back home with me for another day. Highly recommend.My gf ordered the Pho Bo ($16), which consisted of 12 hrs cooked beef broth, thin sliced rare beef, brisket, and thin rice noodles served with side of bean sprouts, jalapeno, and lime wedge. The beef broth is super rich. Everything else is what you'd expect in a standard pho.What was not on the menu were Happy Hour Oysters ($1.50 each). You would have not known about this unless you view their Instagram page. We found out as an adjacent table ordered a dozen. They have this everyday 11:30AM - 6PM. We ended up ordering a half dozen.The one thing I had an issue with was how long the food took to get to us. We were one of the first parties to sit down and order. Four other tables filled up and ended up getting their food well before we did. I even order the oysters thinking it would come out immediately while we were waiting for our entrees. They ended up taking just as long as the entrees did. It was also very hard for us to get service due to where our table was situated, crammed by the wall with other tables set up super close to us. Besides this, food was amazing and I'd stop by again."
2754,"Bookmarked for the longest, I finally had a chance to stop by OBAO for a quick weeknight dinner with the Hubs a few weeks ago. Happy hour was in full swing and  it seemed everyone had a drink in hand.  We ordered the kimchi fries to share and although I didn't try the entire menu on my first visit, I'm convinced it's one of OBAO's best offerings.  Seriously crunchy (possibly twice fried) but not greasy.  Just the right amount of sweet and savory.  Sriracha mayo and kimchi provide just the right mix of spicy tanginess and texture.  Fries, elevated, who wouldn't love these?I ordered the vegan sautéed Vegetables  bu'n filled with stir fried mixed vegetables, bean sprouts, soy dressing, and peanuts served with soy sham sauce.  Super flavorful, light and addictive!  There was so much food, I had to take home the leftovers because I couldn't eat anymore.  Hubs ordered the shrimp Pad Thai which was topped with a quite decorative poached egg.  We had the OBAO Sunray cocktail (vodka | coconut rum | lime juice | Thai chili | ginger purée) which was strong, spicy and sweet, I could easily knock back a few of them at happy hour pricing! $10 instead of $15)The restaurant doesn't look large from the front but there's more seating in the back. Fun place for a date or night out with friends.  We'll definitely be back!"
2755,"Food was great! This place always seems to be packed and for good reason. Got the pad see ew and it was delicious. I do have to say that it was a bit on the oily side for me. But the food came out quick and service was great. So close to home, will be coming here again!"
2756,"This is a fancy place that was relatively busy when we went. We were seated pretty quickly though, in around 10 minutes. However, the tables are crammed super near each other so that you barely have a foot in between each seat. They do check your vaccination cards, but it was a little cramped for my taste. The atmosphere is great, and there were mostly people going on dates. The staff told us that someone had placed a reservation for the whole row of back tables, so we had to finish eating in 45 minutes. That was more than enough time though. We ordered the Pho Ga and Basil Fried Rice. The pho was top tier and their portions are huge. The basil fried rice is a little spicy and slightly sweet and has shrimp inside. With the pho ga, you also get bean sprouts, cilantro, and shrimp paste of some sort. The food is really high quality and both the dishes are mildly spicy. I personally thought the fried rice was a little more spicy than the pho, if you don't drink the broth. Service was super quick and our dishes only took around 10 minutes to get to us. This was DURING dinner rush, and they had almost no empty tables! Awesome staff and waiters. Their bathroom is clean and so is the entire restaurant. A lovely aura and great location!"
2757,Obao is a pretty good spot for all types of Asian style cuisine. Mainly Vietnamese and a bit of Thai. We ordered the:VIETNAMESE CRISPY SPRING ROLLS - hard to mess up spring rolls. MUSHROOM DUMPLINGS - tasted frozen but still edible. BÚN BÒ HUE - delicious soup. Only critic is that the posts was a bit too tough. BÒ LÚC LẮC - steak was delicious as well as the sauce. But they did over cook the steak. VIETNAMESE ICED COFFEE - always a winner. This place just saying pretty much always a great spot to have dinner at. Also a epic first date place.
2758,"Petite Thai and Vietnamese fusion spot. We ordered theDRUNKEN NOODLES: stir fried large flat noodles, sliced chicken, egg, bird's eye chilies, kaffir lime leaves, Thai basil leaves, young pepper cornsPAD SEE IEW: stir fried large flat noodles, New Zealand grass-fed beef, egg, and Chinese broccoli served with pickled jalapenosI would definitely come back when it is less packed"
2759,"Lots of good flavors each dish.Papaya salad was average but refreshingDumplings were dry and blandLobster was a bit over cookedPad see eew noodles were soft like housemadeCrab fried rice clean and plentiful of crabMassaman curry short ribs, flavor was comforting but ribs good go longer.Overall happy they serve until 11pm but 10:30pm last call includes alcohol, zonk for that."
2760,"My friends and I went on a Saturday night. We waited awhile to get seated even though I had a reservation.. Waiting area is definitely not spacious and we were feeling crowded while standing. When we got seated, it was always so hard to get the waiter's attention. Getting our water, putting our orders in, and especially getting the check was so hard. The food took a bit to come out as well.. My pad thai definitely was more warm than hot. Maybe it was because they were waiting to give all our dishes to come out at the same time.. Everything tasted great, and the ambiance is pretty good (at a certain time at night they dim the lights even more) but the service made the experience a bit difficult."
2761,"We were looking for a place to eat near Hell's Kitchen during the fall, and found this spot with enticing menu. The inside was not huge, but not small either. I liked the high ceiling that gives the feeling of larger space.We were there for an early dinner, during their Happy Hour, so we started off with cocktails. We ordered Flunk Flink was delicious, I could have it everyday! Obao Sunray had a great ginger flavor. Very flavorful drink!For appetizer, we ordered Spare Ribs with Honey Tamarind Glaze. The ribs were so tender and juicy, fell off the bone! We also ordered Vietnamese Chicken Wings with Crispy Garlic. The wings had the super crunchy exterior, holding the super juicy meat! Finger-licking-good!For main, we ordered Lobster Pad Thai. It was a nice large portion, with a big lobster protecting its delicious treasure. The only thing about this dish is that it is not easy to eat the lobster with just the fork and chopsticks provided to us... I prefer the lobster meat separated from the shells, and then placed it back just for the presentation. Otherwise a nice dish.I wanted a rice dish, so I ordered The Crab Fried Rice. It had jumbo pieces of crab meat in there. They were plump and flavorful. We enjoyed this dish a lot! We added another cocktail order and tried Fig-A-Tini and Buiseberry Mojito. They were both tasty, although the mojito was a bit too sweet for me. When we were finishing up with our food and drinks, our server came over with last call for happy hour drinks. I thought that was very considerate, as we are not always looking at our watch.We had a great dinner here. Good drinks, delicious food, and super friendly and polite staff. Our server took a very good care of us. We enjoyed every bite, and we were very happily full. The portion of the dishes were generous amount, so we did take some food home. I would love to go back and order more of their enticing menu items!"
2762,"Five stars!!! Everything was so good. We grabbed the last reservation on a Tuesday evening - 8:15 - and when we left there were tons of people still waiting to be sat. We loved that the menu was so clearly labeled GF and V - gluten free and vegan. Our waitress even checked with us to see if there were food allergies. We ordered the crispy chicken wings and the papaya salad to share. Amazing!!!! My kids and I decided we all were in the mood for pad thai with shrimp - medium spicy - so we ordered two orders of it and split it between the three of us. If we hadn't eaten appetizers, the amount would have been perfect for one person. Highly recommend. The place was bustling and fun and our appetizers came out quickly. As did my amazing cocktail."
